GA Nummer;Tafeln;GA K Band;;GA K Band;Tafeln;GA Nummern
GA036;3;-;;GA K 1;19;GA073A(2), GA074(5), GA076(3), GA084(9)
GA073A;2;GA K 1;;GA K 2;35;GA191(14), GA194(21)
GA074;5;GA K 1;;GA K 4;33;GA199(25), GA200(8)
GA076;3;GA K 1;;GA K 5;26;GA201(26)
GA084;9;GA K 1;;GA K 6;32;GA202(14), GA203(9), GA204(9)
GA156;1;-;;GA K 7;33;GA205(18), GA206(15)
GA158;3;-;;GA K 8;34;GA207(18), GA208(14), GA209(2)
GA180;1;-;;GA K 9;36;GA210(12), GA211(10), GA212(14)
GA191;14;GA K 2;;GA K 10;33;GA213(24), GA214(8), GA215(1)
GA194;21;GA K 2;;GA K 11;40;GA216(10), GA218(5), GA219(13), GA220(12)
GA196;11;-;;GA K 12;30;GA221(3), GA222(10), GA223(6), GA224(2), GA225(9)
GA198;11;-;;GA K 13;30;GA227(2), GA228(6), GA229(6), GA230(16)
GA199;25;GA K 4;;GA K 14;28;GA232(19), GA233(9)
GA200;8;GA K 4;;GA K 15;32;GA233A(9), GA234(12), GA243(11)
GA201;26;GA K 5;;GA K 16;48;GA235(14), GA236(23), GA237(7), GA240(4)
GA202;14;GA K 6;;GA K 17;20;GA257(2), GA258(7), GA260(11)
GA203;9;GA K 6;;GA K 18;31;GA271(2), GA276(4), GA283(2), GA288(6), GA291(17)
GA204;9;GA K 6;;GA K 19;28;GA278(10), GA279(13), GA315(5)
GA205;18;GA K 7;;GA K 20;25;GA281(2), GA282(23)
GA206;15;GA K 7;;GA K 21;28;GA296(3), GA303(10), GA304(2), GA306(5), GA311(8)
GA207;18;GA K 8;;GA K 22;42;GA312(25), GA313(6), GA314(11)
GA208;14;GA K 8;;GA K 23;32;GA316(12), GA317(9), GA318(11)
GA209;2;GA K 8;;GA K 24;36;GA322(3), GA326(10), GA327(8), GA339(4), GA340(11)
GA210;12;GA K 9;;GA K 25;32;GA347(9), GA348(23)
GA211;10;GA K 9;;GA K 26;44;GA349(20), GA350(24)
GA212;14;GA K 9;;GA K 27;29;GA351(19), GA352(10)
GA213;24;GA K 10;;GA K 28;37;GA353(20), GA354(17)
GA214;8;GA K 10;;GA K 29;38;GA342(3), GA343(18), GA344(5), GA346(12)
GA215;1;GA K 10;;GA K 30;3;GA336(3)
GA216;10;GA K 11;;;;
GA218;5;GA K 11;;GESAMT aus GA K Bänden: 914 Tafeln;;
GA219;13;GA K 11;;;;
GA220;12;GA K 11;;;;
GA221;3;GA K 12;;;;
GA222;10;GA K 12;;Hinweis: Die Differenz (961 vs 914) erklärt sich durch Tafeln ohne GA K-Zuordnung:;;
GA223;6;GA K 12;;GA036, GA156, GA158, GA180, GA196, GA198, GA270, GA308, GA324, GA328, GA337, GA383, GA393;;
GA224;2;GA K 12;;Plus fehlerhafte OCR-Namen: GA2604, GA260X;;
GA225;9;GA K 12;;;;
GA227;2;GA K 13;;;;
GA228;6;GA K 13;;;;
GA229;6;GA K 13;;;;
GA230;16;GA K 13;;;;
GA232;19;GA K 14;;;;
GA233;9;GA K 14;;;;
GA233A;9;GA K 15;;;;
GA234;12;GA K 15;;;;
GA235;14;GA K 16;;;;
GA236;23;GA K 16;;;;
GA237;7;GA K 16;;;;
GA240;4;GA K 16;;;;
GA243;11;GA K 15;;;;
GA257;2;GA K 17;;;;
GA258;7;GA K 17;;;;
GA260;11;GA K 17;;;;
GA260A;2;GA K 17;;;;
GA271;2;GA K 18;;;;
GA276;4;GA K 18;;;;
GA278;10;GA K 19;;;;
GA279;13;GA K 19;;;;
GA281;2;GA K 20;;;;
GA282;23;GA K 20;;;;
GA283;2;GA K 18;;;;
GA288;6;GA K 18;;;;
GA291;17;GA K 18;;;;
GA296;3;GA K 21;;;;
GA303;10;GA K 21;;;;
GA304;2;GA K 21;;;;
GA306;5;GA K 21;;;;
GA311;8;GA K 21;;;;
GA312;25;GA K 22;;;;
GA313;6;GA K 22;;;;
GA314;11;GA K 22;;;;
GA315;5;GA K 19;;;;
GA316;12;GA K 23;;;;
GA317;9;GA K 23;;;;
GA318;11;GA K 23;;;;
GA322;3;GA K 24;;;;
GA326;10;GA K 24;;;;
GA327;8;GA K 24;;;;
GA336;3;GA K 30;;;;
GA337;8;-;;;;
GA339;4;GA K 24;;;;
GA340;11;GA K 24;;;;
GA342;3;GA K 29;;;;
GA343;18;GA K 29;;;;
GA344;5;GA K 29;;;;
GA346;12;GA K 29;;;;
GA347;9;GA K 25;;;;
GA348;23;GA K 25;;;;
GA349;20;GA K 26;;;;
GA350;24;GA K 26;;;;
GA351;19;GA K 27;;;;
GA352;10;GA K 27;;;;
GA353;20;GA K 28;;;;
GA354;17;GA K 28;;;;
;;;;;;
GESAMT: 961 Tafeln;;;;;;
