"Path","Cat","Reason","SizeDiff"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA065-Aus dem mitteleuropäischen Geistesleben\GA065 (1.) GOETHE UND - DAS WELTBILD DES DEUTSCHEN IDEALISMUS, Berlin, 2. Dezember 1915-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA065-Aus dem mitteleuropäischen Geistesleben\GA065 - Aus dem mitteleuropäischen Geistesleben (1915-1916)-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA068a-Über das Wesen des Christentums\GA068a (1.) Bericht - DIE THEOSOPHIE UND DIE FORTBILDUNG DER RELIGIONEN (DIE BIBEL-BABEL-FRAGE), Weimar, 15. April 1903-Christoph_PC.md","content","CONTENT_DIFF","-2"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (1.) DER CHRISTUS IM ZWANZIGSTEN JAHRHUNDERT, Kristiania (Oslo), 13. Juni 1910-Christoph_PC.md","content","CONTENT_DIFF","-286"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (10.) VON JESUS ZU CHRISTUS, Nürnberg, 1. Dezember 1911-Christoph_PC.md","content","CONTENT_DIFF","1298"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (11.) VON JESUS ZU CHRISTUS, Hamburg, 15. November 1913-Christoph_PC.md","content","CONTENT_DIFF","-665"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (13.) RAFFAELS MISSION IM LICHTE DER WISSENSCHAFT VOM GEISTE, Stuttgart, 19. Mai 1913-Christoph_PC.md","content","CONTENT_DIFF","-744"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (2.) CHRISTUS UND DAS ZWANZIGSTE JAHRHUNDERT, Stuttgart, 22. Februar 1912-Christoph_PC.md","content","CONTENT_DIFF","-319"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (3.) CHRISTUS UND DAS ZWANZIGSTE JAHRHUNDERT, Köln, 6. Mai 1912-Christoph_PC.md","content","CONTENT_DIFF","-15"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (4.) CHRISTUS IM ZWANZIGSTEN JAHRHUNDERT, Hamburg, 16. November 1912-Christoph_PC.md","content","CONTENT_DIFF","-937"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (5.) DER CHRISTUS DES ZWANZIGSTEN JAHRHUNDERTS, Bremen, 10. Januar 1914-Christoph_PC.md","content","CONTENT_DIFF","-819"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (6.) CHRISTUS IM ZWANZIGSTEN JAHRHUNDERT, Pforzheim, 8. März 1914-Christoph_PC.md","content","CONTENT_DIFF","-170"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (7.) VON BUDDHA ZU CHRISTUS, Dresden, 18. November 1910-Christoph_PC.md","content","CONTENT_DIFF","-340"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (8.) DER WESENSKERN DES CHRISTENTUMS, Straßburg, 18. Februar 1911-Christoph_PC.md","content","CONTENT_DIFF","-786"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (9.) VON JESUS ZU CHRISTUS, Karlsruhe, 4. Oktober 1911-Christoph_PC.md","content","CONTENT_DIFF","-388"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c - Neues Christus-Erleben (1910-1914)-Christoph_PC.md","content","CONTENT_DIFF","695"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA070b-Wege zur Erkenntnis der ewigen Kräfte der Menschenseele\GA070b (1.) DAS WELTBILD DES DEUTSCHEN IDEALISMUS EINE BETRACHTUNG IM HINBLICK AUF UNSERE SCHICKSALTRAGENDE ZEIT, Stuttgart, 25. November 1915-Christoph_PC.md","content","CONTENT_DIFF","-4"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA070b-Wege zur Erkenntnis der ewigen Kräfte der Menschenseele\GA070b - Wege zur Erkenntnis der ewigen Kräfte der Menschenseele (1915, 1916)-Christoph_PC.md","content","CONTENT_DIFF","-4"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA094-Kosmogonie. Populärer Okkultismus. Das Johannes-Evangelium\GA094 (28.) POPULÄRER OKKULTISMUS, Zehnter Vortrag, Leipzig, 7. Juli 1906-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA094-Kosmogonie. Populärer Okkultismus. Das Johannes-Evangelium\GA094 - Kosmogonie (1906)-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA099-Die Theosophie des Rosenkreuzers\GA099 (4.) VIERTER VORTRAG, München, 28. Mai 1907-Christoph_PC.md","content","CONTENT_DIFF","1"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA099-Die Theosophie des Rosenkreuzers\GA099 - Die Theosophie des Rosenkreuzers (1907)-Christoph_PC.md","content","CONTENT_DIFF","1"
