"Path","Cat","Reason"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\COMMIT_EDITMSG-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\FETCH_HEAD-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\FETCH_HEAD-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\FETCH_HEAD-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\ORIG_HEAD-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-4","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-5","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\refs\heads\main-Christoph_PC","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\refs\heads\main-Christoph_PC-2","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\refs\heads\main-Christoph_PC-3","git","EPHEMERAL"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\books\books-2026-06-25T21-39-04-644Z\steiner-books-002-012-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\books\books-2026-06-25T21-39-04-644Z\steiner-books-023-045-part03-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\books\books-2026-07-08T19-10-54-269Z\steiner-books-002-012-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\books\books-2026-07-08T19-10-54-269Z\steiner-books-023-045-part03-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-051-051-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-066-066-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-094-094-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-095-095-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-099-099-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-100-100-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-128-128-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-190-190-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-297-297-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-06-25T21-39-04-644Z\steiner-full-lectures-317-317-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-051-051-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-066-066-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-094-094-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-095-095-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-099-099-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-100-100-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-128-128-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-190-190-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-297-297-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\lectures\lectures-2026-07-08T19-10-54-269Z\steiner-full-lectures-317-317-Christoph_PC.json","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA014-Vier Mysteriendramen\GA014 (3.) DER HÜTER DER SCHWELLE (1912)-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA026-Anthroposophische Leitsätze\GA026 (16.) ERSTE BETRACHTUNG VOR DEN TOREN DER BEWUSSTSEINSSEELE WIE MICHAEL SEINE ERDENMISSION DURCH BESIEGUNG LUZIFERS ÜBERIRDISCH VORBEREITET-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (155.) Bühnenbearbeitung-Christoph_PC.md","backup","TEXT"
"C:\Users\chuec\OneDrive\GitHub\ga_suche\backups\page-marker-md\page-marker-md-2026-06-25T21-39-04-645Z\GA029-Gesammelte Aufsätze zur Dramaturgie 1889 bis 1900\GA029 (49.) Eine Tragödie von J. W. Goethe-Christoph_PC.md","backup","TEXT"
