C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\COMMIT_EDITMSG-Christoph_PC | SIZE_DIFF | conflict=136 orig=4
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC | SIZE_DIFF | conflict=714421 orig=845025
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC-2 | SIZE_DIFF | conflict=850490 orig=845025
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\index-Christoph_PC-3 | SIZE_DIFF | conflict=869202 orig=845025
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC | SIZE_DIFF | conflict=5012 orig=178010
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC-2 | SIZE_DIFF | conflict=174739 orig=178010
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\HEAD-Christoph_PC-3 | SIZE_DIFF | conflict=174002 orig=178010
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC | SIZE_DIFF | conflict=88495 orig=177711
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC-2 | SIZE_DIFF | conflict=174440 orig=177711
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\heads\main-Christoph_PC-3 | SIZE_DIFF | conflict=173703 orig=177711
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC | SIZE_DIFF | conflict=6996 orig=369039
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-2 | SIZE_DIFF | conflict=354729 orig=369039
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-3 | SIZE_DIFF | conflict=352503 orig=369039
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-4 | SIZE_DIFF | conflict=358704 orig=369039
C:\Users\chuec\OneDrive\GitHub\ga_suche\.git\logs\refs\remotes\origin\HEAD-Christoph_PC-5 | SIZE_DIFF | conflict=358704 orig=369039
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\.obsidian\workspace-Christoph_PC-2.json | SIZE_DIFF | conflict=13097 orig=11526
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\.obsidian\workspace-Christoph_PC-3.json | SIZE_DIFF | conflict=12286 orig=11526
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\.obsidian\workspace-Christoph_PC.json | SIZE_DIFF | conflict=11320 orig=11526
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA065-Aus dem mitteleuropäischen Geistesleben\GA065 (1.) GOETHE UND - DAS WELTBILD DES DEUTSCHEN IDEALISMUS, Berlin, 2. Dezember 1915-Christoph_PC.md | SIZE_DIFF | conflict=77003 orig=77002
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA065-Aus dem mitteleuropäischen Geistesleben\GA065 - Aus dem mitteleuropäischen Geistesleben (1915-1916)-Christoph_PC.md | SIZE_DIFF | conflict=1226772 orig=1226771
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA068a-Über das Wesen des Christentums\GA068a (1.) Bericht - DIE THEOSOPHIE UND DIE FORTBILDUNG DER RELIGIONEN (DIE BIBEL-BABEL-FRAGE), Weimar, 15. April 1903-Christoph_PC.md | SIZE_DIFF | conflict=7242 orig=7244
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (1.) DER CHRISTUS IM ZWANZIGSTEN JAHRHUNDERT, Kristiania (Oslo), 13. Juni 1910-Christoph_PC.md | SIZE_DIFF | conflict=37081 orig=37367
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (10.) VON JESUS ZU CHRISTUS, Nürnberg, 1. Dezember 1911-Christoph_PC.md | SIZE_DIFF | conflict=35396 orig=34098
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (11.) VON JESUS ZU CHRISTUS, Hamburg, 15. November 1913-Christoph_PC.md | SIZE_DIFF | conflict=68317 orig=68982
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (13.) RAFFAELS MISSION IM LICHTE DER WISSENSCHAFT VOM GEISTE, Stuttgart, 19. Mai 1913-Christoph_PC.md | SIZE_DIFF | conflict=61318 orig=62062
C:\Users\chuec\OneDrive\GitHub\ga_suche\Steiner_GA\GA069c-Neues Christus-Erleben\GA069c (2.) CHRISTUS UND DAS ZWANZIGSTE JAHRHUNDERT, Stuttgart, 22. Februar 1912-Christoph_PC.md | SIZE_DIFF | conflict=17671 orig=17990
